player,value,nationality,age,height,league,champions_league,team,position_type,position,foot,games,games_starts,minutes,game_win,game_lose,game_clean_sheets,goals_team,assits_team,goals,assists,shots_total,shots_on_target,goal_created,dribbles,dribbles_completed_pct,aerials_won,aerials_won_pct,passes,passes_pct,passes_received,passes_received_pct,touches,carry_distance,carry_progressive_distance,blocks,blocked_passes,blocked_shots,clearances,tackles,tackles_won,ball_recoveries,saves,save_pct,pens_saved,cards_yellow,cards_red,dispossessed,errors
AdriĂˇn MarĂ­n,65000,es ESP,22,181,La Liga,0,AlavĂ©s,Defender,Left-Back,left,12,9,852,10,19,0,0.6,0.3,0,0,3,0,0,22,36.4,8,50.0,355,71.3,207,92.4,466,1238,793,23,19,4,33,19,6,69,0,0.0,0,1,0,6,0
Guillermo MaripĂˇn,11000000,cl CHI,25,193,La Liga,0,AlavĂ©s,Defender,Centre-Back,right,1,1,90,10,19,0,0.0,0.0,0,0,0,0,0,0,0.0,3,75.0,11,63.6,5,100.0,21,32,15,2,1,1,7,0,0,4,0,0.0,0,0,0,0,0
Ă‰dgar MĂ©ndez,1600000,es ESP,29,187,La Liga,0,AlavĂ©s,Forward,Right Winger,right,16,10,864,10,19,0,0.5,0.6,1,0,9,4,0,17,70.6,13,35.1,197,68.0,207,63.1,317,1276,682,18,15,3,11,15,8,52,0,0.0,0,3,0,19,0
Ximo Navarro,2000000,es ESP,29,176,La Liga,0,AlavĂ©s,Defender,Right-Back,right,23,22,1903,10,19,0,0.4,0.1,0,0,7,1,0,21,66.7,37,56.1,848,75.8,484,92.2,1119,3396,1614,49,40,9,102,47,27,229,0,0.0,0,8,0,14,3
Fernando Pacheco,14000000,es ESP,27,186,La Liga,0,AlavĂ©s,Goalkeeper,Goalkeeper,left,27,27,2358,10,19,6,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,814,57.9,271,99.3,864,2099,1483,0,0,0,1,0,0,140,61,0.685,3,0,1,1,0
Lucas PĂ©rez,12000000,es ESP,30,180,La Liga,0,AlavĂ©s,Forward,Centre-Forward,left,34,29,2496,10,19,0,9.9,5.9,11,5,43,14,9,46,45.7,11,26.2,705,63.5,594,52.9,938,3612,1737,13,12,1,5,12,10,116,0,0.0,0,4,0,51,0
TomĂˇs Pina Isla,1500000,es ESP,31,185,La Liga,0,AlavĂ©s,Midfielder,Central Midfield,right,20,17,1344,10,19,0,0.9,0.5,1,0,2,1,1,10,90.0,45,68.2,525,79.8,361,90.0,671,1605,567,18,13,5,51,34,21,174,0,0.0,0,6,1,9,0
Pere Pons,3500000,es ESP,26,177,La Liga,0,AlavĂ©s,Midfielder,Defensive Midfield,right,30,7,1088,10,19,0,0.2,0.9,1,1,4,1,2,15,26.7,18,54.5,378,74.1,309,85.1,509,1770,897,18,15,3,13,25,20,110,0,0.0,0,3,0,16,0
Luis Rioja,2000000,es ESP,25,176,La Liga,0,AlavĂ©s,Forward,Left Winger,left,28,19,1634,10,19,0,0.5,2.2,0,0,9,2,1,44,54.5,11,33.3,436,70.2,391,71.6,597,3326,2024,24,24,0,16,18,14,108,0,0.0,0,3,0,26,0
Roberto,800,es ESP,33,192,La Liga,0,AlavĂ©s,Goalkeeper,Goalkeeper,right,9,8,790,10,19,0,0.0,0.0,0,0,1,0,0,0,0.0,0,0.0,238,51.3,76,100.0,269,449,275,0,0,0,0,1,1,35,36,0.686,0,1,0,0,0
Borja Sainz,30000,es ESP,18,174,La Liga,0,AlavĂ©s,Forward,Left Winger,right,19,5,573,10,19,0,1.3,0.5,1,0,9,5,0,27,40.7,5,31.3,130,72.3,133,58.1,239,1445,903,12,12,0,0,16,11,62,0,0.0,0,1,0,19,0
Antonio Sivera,1000000,es ESP,22,184,La Liga,0,AlavĂ©s,Goalkeeper,Goalkeeper,right,3,3,270,10,19,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,83,51.8,24,100.0,88,261,161,0,0,0,0,0,0,16,2,0.5,0,1,0,0,0
Tachi,800,es ESP,21,184,La Liga,0,AlavĂ©s,Defender,Centre-Back,right,6,2,238,10,19,0,0.0,0.0,0,0,0,0,0,0,0.0,2,22.2,59,72.9,36,90.0,93,106,54,9,5,4,16,2,1,13,0,0.0,0,1,0,1,0
Aleix Vidal,3000000,es ESP,29,177,La Liga,0,AlavĂ©s,Defender,Right-Back,right,29,26,2165,10,19,0,2.5,3.8,2,4,22,9,9,50,44.0,10,32.3,848,72.1,687,70.5,1078,4697,2504,36,34,2,14,23,16,139,0,0.0,0,6,0,23,0
Wakaso,2000000,gh GHA,29,171,La Liga,0,AlavĂ©s,Midfielder,Central Midfield,left,16,15,1283,10,19,0,0.4,0.1,0,0,14,1,0,36,66.7,17,45.9,488,71.9,379,89.6,672,2603,1160,24,21,3,22,51,28,139,0,0.0,0,12,1,15,0
Chadrac Akolo,1000000,cd COD,24,172,Ligue 1,0,Amiens,Forward,Left Winger,right,15,5,544,4,13,0,1.0,1.2,2,1,9,4,4,19,57.9,4,28.6,206,83.5,196,76.6,281,1065,607,8,7,1,4,17,13,35,0,0.0,0,1,0,14,0
Haitam Aleesami,1000000,no NOR,28,183,Ligue 1,0,Amiens,Defender,Left-Back,left,22,21,1916,4,13,0,0.1,1.3,1,1,2,1,3,32,59.4,38,63.3,1170,77.8,763,91.9,1436,3835,1987,55,42,13,98,44,28,197,0,0.0,0,4,0,24,1
Alexis Blin,4000000,fr FRA,22,184,Ligue 1,0,Amiens,Midfielder,Defensive Midfield,right,24,21,1841,4,13,0,0.2,0.7,0,1,2,0,1,16,81.3,37,51.4,1040,84.0,765,94.4,1240,3287,1451,36,30,6,65,56,43,251,0,0.0,0,4,0,14,1
Mathieu Bodmer,25000,fr FRA,36,190,Ligue 1,0,Amiens,Midfielder,Defensive Midfield,right,9,0,88,4,13,0,0.3,0.3,1,0,4,2,0,2,100.0,6,50.0,93,81.7,90,86.5,104,263,124,1,0,1,1,0,0,9,0,0.0,0,1,0,1,0
Arturo Calabresi,2000000,it ITA,23,186,Ligue 1,0,Amiens,Defender,Centre-Back,right,21,21,1878,4,13,0,0.8,0.9,1,1,6,1,2,35,68.6,32,47.1,964,74.1,550,93.2,1240,3284,2011,50,39,11,112,59,42,198,0,0.0,0,5,0,24,1
AurĂ©lien Chedjou,325,cm CMR,34,184,Ligue 1,0,Amiens,Defender,Centre-Back,right,22,22,1971,4,13,0,0.4,0.2,0,0,8,2,1,15,86.7,45,66.2,994,83.3,693,98.3,1277,4287,2478,33,18,15,183,35,27,255,0,0.0,0,4,1,5,1
Quentin Cornette,30000,fr FRA,25,172,Ligue 1,0,Amiens,Forward,Right Winger,right,13,3,349,4,13,0,0.1,0.8,0,2,2,1,3,21,42.9,3,60.0,141,54.6,144,72.7,220,1211,912,11,10,1,3,6,1,26,0,0.0,0,0,0,13,0
Fousseni DiabatĂ©,2000000,ml MLI,23,175,Ligue 1,0,Amiens,Forward,Right Winger,left,20,15,1190,4,13,0,0.8,1.8,1,3,7,2,4,45,60.0,9,39.1,482,75.1,459,73.3,648,3525,2050,15,15,0,8,18,10,115,0,0.0,0,3,0,33,1
Bakaye Dibassy,2000000,ml MLI,29,183,Ligue 1,0,Amiens,Defender,Centre-Back,left,22,22,1868,4,13,0,0.8,0.1,2,0,5,4,0,12,83.3,24,40.0,902,81.2,667,95.7,1139,3575,1881,54,34,20,98,35,19,179,0,0.0,0,5,1,3,1
Juan Ferney Otero,2000000,co COL,24,182,Ligue 1,0,Amiens,Forward,Right Winger,right,18,14,1202,4,13,0,1.5,2.0,1,2,18,6,3,40,32.5,37,44.0,362,66.6,347,66.6,541,2451,1371,25,23,2,17,15,11,91,0,0.0,0,0,1,30,0
Saman Ghoddos,3000000,ir IRN,25,177,Ligue 1,0,Amiens,Midfielder,Attacking Midfield,right,5,2,231,4,13,0,0.9,0.9,1,0,6,3,2,5,60.0,1,50.0,96,76.0,80,73.4,129,351,242,5,5,0,4,3,2,20,0,0.0,0,1,0,4,0
Eddy GnahorĂ©,2000000,fr FRA,25,188,Ligue 1,0,Amiens,Midfielder,Central Midfield,right,17,14,1133,4,13,0,0.7,0.4,0,0,8,0,1,7,85.7,13,52.0,726,91.6,585,92.1,874,3390,1567,27,22,5,29,27,20,144,0,0.0,0,4,1,27,0
Sehrou Guirassy,15000000,fr FRA,23,187,Ligue 1,0,Amiens,Forward,Centre-Forward,right,23,23,1921,4,13,0,9.2,0.7,9,2,42,16,10,38,57.9,90,46.2,622,73.2,735,58.3,913,3402,1539,14,5,9,21,6,4,81,0,0.0,0,6,0,42,0
RĂ©gis Gurtner,1000000,fr FRA,32,182,Ligue 1,0,Amiens,Goalkeeper,Goalkeeper,right,28,28,2520,4,13,5,0.0,0.2,0,0,0,0,0,1,100.0,0,0.0,821,63.3,283,100.0,897,1740,1003,0,0,0,0,0,0,127,92,0.65,0,0,0,0,1
Christophe Jallet,25000,fr FRA,35,178,Ligue 1,0,Amiens,Defender,Right-Back,right,12,10,855,4,13,0,0.2,0.7,1,1,4,1,1,8,75.0,11,44.0,556,77.9,340,91.9,662,1486,870,23,18,5,34,28,15,86,0,0.0,0,0,0,3,0
GaĂ«l Kakuta,2000000,cd COD,28,173,Ligue 1,0,Amiens,Midfielder,Attacking Midfield,left,24,23,2001,4,13,0,3.2,2.5,2,5,42,12,8,85,57.6,23,28.0,868,68.2,891,76.7,1211,5124,2664,18,17,1,8,44,31,131,0,0.0,0,4,0,96,0
Moussa KonatĂ©,4000000,sn SEN,26,183,Ligue 1,0,Amiens,Forward,Centre-Forward,right,12,6,614,4,13,0,1.9,0.1,2,0,11,6,1,10,60.0,15,34.9,118,73.7,136,49.5,192,596,214,4,2,2,1,5,4,22,0,0.0,0,0,0,17,0
Jack Lahne,90000,se SWE,17,174,Ligue 1,0,Amiens,Forward,Centre-Forward,right,1,0,9,4,13,0,0.4,0.0,1,0,1,1,1,0,0.0,0,0.0,1,100.0,3,42.9,4,10,8,0,0,0,0,1,1,0,0,0.0,0,0,0,1,0
Jordan Lefort,1000000,fr FRA,25,184,Ligue 1,0,Amiens,Defender,Left-Back,left,10,8,842,4,13,0,0.1,0.3,0,1,3,1,2,6,83.3,13,59.1,484,82.6,365,98.6,565,1691,925,10,8,2,50,5,4,80,0,0.0,0,2,0,3,0
Isaac Mbenza,5000000,be BEL,23,188,Ligue 1,0,Amiens,Forward,Left Winger,right,3,1,84,4,13,0,0.2,0.1,0,0,4,1,0,4,25.0,0,0.0,37,73.0,36,92.3,48,322,218,1,1,0,0,1,1,3,0,0.0,0,0,0,2,0
Stiven Mendoza,3000000,co COL,27,172,Ligue 1,0,Amiens,Forward,Left Winger,left,15,12,1101,4,13,0,3.5,0.4,5,0,23,9,3,46,58.7,8,29.6,375,70.4,413,72.6,574,3032,1888,21,19,2,5,18,11,72,0,0.0,0,2,0,35,1
Thomas Monconduit,2000000,fr FRA,28,184,Ligue 1,0,Amiens,Midfielder,Defensive Midfield,right,19,15,1364,4,13,0,0.4,0.6,0,0,11,2,0,17,64.7,23,59.0,709,77.0,550,88.9,861,2843,1514,16,13,3,31,23,14,149,0,0.0,0,8,0,17,0
Nicholas Opoku,80000,gh GHA,21,190,Ligue 1,0,Amiens,Defender,Centre-Back,right,7,7,630,4,13,0,0.0,0.0,0,0,4,1,0,2,0.0,14,77.8,199,80.9,149,100.0,291,1016,600,12,7,5,20,11,8,62,0,0.0,0,1,0,1,0
Cheick Timite,1000000,ci CIV,21,177,Ligue 1,0,Amiens,Forward,Right Winger,right,3,2,115,4,13,0,0.2,0.2,0,0,3,1,0,1,0.0,3,75.0,41,78.0,43,78.2,53,343,193,2,2,0,1,0,0,5,0,0.0,0,0,0,2,0
Bongani Zungu,1000000,za RSA,26,184,Ligue 1,0,Amiens,Midfielder,Central Midfield,right,21,10,992,4,13,0,0.3,0.3,1,0,7,1,3,11,45.5,18,41.9,538,81.2,410,92.6,659,1825,823,19,15,4,26,26,12,133,0,0.0,0,4,0,13,1
Rayan AĂŻt Nouri,15000000,fr FRA,18,179,Ligue 1,0,Angers,Defender,Left-Back,left,17,16,1282,11,11,0,0.2,0.9,0,2,4,0,4,41,46.3,19,70.4,801,78.0,565,92.8,996,3809,2408,32,31,1,51,32,18,143,0,0.0,0,3,0,20,0
Rachid Alioui,4000000,ma MAR,27,186,Ligue 1,0,Angers,Forward,Centre-Forward,right,28,17,1563,11,11,0,5.3,1.4,6,1,58,21,2,30,76.7,43,40.6,467,73.2,496,58.3,656,2189,1066,4,4,0,10,13,11,67,0,0.0,0,1,0,26,0
StĂ©phane Bahoken,4000000,cm CMR,27,185,Ligue 1,0,Angers,Forward,Centre-Forward,right,20,10,907,11,11,0,3.0,0.8,4,0,20,9,3,13,23.1,10,21.7,204,73.5,254,53.7,341,1365,597,4,3,1,6,7,4,34,0,0.0,0,3,0,27,0
Abdoulaye Bamba,2000000,ci CIV,29,182,Ligue 1,0,Angers,Defender,Right-Back,right,7,6,554,11,11,0,0.0,0.3,0,0,1,0,0,4,100.0,5,50.0,279,74.2,177,93.2,321,799,384,9,8,1,14,13,6,45,0,0.0,0,2,0,4,0
Antonin Bobichon,2000000,fr FRA,23,178,Ligue 1,0,Angers,Midfielder,Central Midfield,right,11,8,649,11,11,0,1.0,0.9,2,1,2,0,2,10,60.0,3,16.7,101,78.2,265,81.5,373,1583,985,1,1,0,1,5,2,45,0,0.0,0,0,0,11,0
Ludovic Butelle,25000,fr FRA,36,188,Ligue 1,0,Angers,Goalkeeper,Goalkeeper,left,26,26,2340,11,11,11,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,696,64.5,214,97.7,739,2000,1176,1,1,0,3,0,0,129,50,0.628,0,0,0,0,2
Pierrick Capelle,1000000,fr FRA,32,181,Ligue 1,0,Angers,Midfielder,Left Midfield,left,24,20,1747,11,11,0,2.0,1.6,1,2,35,11,4,39,66.7,38,55.1,790,81.8,712,81.5,1052,4644,2335,26,22,4,36,46,35,147,0,0.0,0,7,0,45,0
Ibrahim CissĂ©,45000,sn SEN,23,191,Ligue 1,0,Angers,Defender,Centre-Back,right,1,1,60,11,11,0,0.0,0.1,0,0,1,1,0,4,75.0,1,50.0,44,84.1,40,93.0,69,188,104,1,0,1,6,1,1,11,0,0.0,0,1,0,0,0
Souleyman Doumbia,1000000,ci CIV,22,183,Ligue 1,0,Angers,Defender,Left-Back,left,5,5,450,11,11,0,0.0,0.3,0,1,0,0,2,7,57.1,4,40.0,48,79.2,208,95.9,362,1536,971,3,1,2,2,2,0,43,0,0.0,0,1,0,5,0
Angelo Fulgini,4000000,fr FRA,22,183,Ligue 1,0,Angers,Midfielder,Central Midfield,right,20,19,1579,11,11,0,3.1,2.0,1,1,34,16,5,80,76.3,18,40.9,930,79.7,873,86.1,1195,5884,3439,22,22,0,10,33,23,147,0,0.0,0,3,1,42,0
Wilfried Kanga,90000,fr FRA,21,185,Ligue 1,0,Angers,Forward,Centre-Forward,right,4,0,68,11,11,0,0.2,0.1,0,0,2,0,0,1,100.0,2,33.3,17,70.6,23,50.0,29,93,54,0,0,0,0,0,0,2,0,0.0,0,0,0,3,0
Vincent Manceau,1000000,fr FRA,30,176,Ligue 1,0,Angers,Defender,Right-Back,right,22,22,1980,11,11,0,0.2,1.0,0,0,8,2,1,14,42.9,17,51.5,1317,80.7,919,94.6,1535,3855,2033,47,44,3,59,49,29,174,0,0.0,0,1,0,14,0
Thomas Mangani,1000000,fr FRA,32,183,Ligue 1,0,Angers,Midfielder,Central Midfield,left,24,21,1871,11,11,0,1.8,3.5,2,2,30,6,2,28,82.1,18,40.0,1366,78.6,1070,92.2,1560,5048,2426,29,26,3,31,34,23,209,0,0.0,0,0,0,25,1
Farid El Melali,1000000,dz ALG,22,168,Ligue 1,0,Angers,Forward,Right Winger,both,8,4,306,11,11,0,0.9,0.0,3,0,6,5,1,22,40.9,2,50.0,103,68.0,112,75.7,181,1132,653,10,9,1,2,13,6,36,0,0.0,0,0,0,16,0
Casimir Ninga,2000000,td CHA,26,186,Ligue 1,0,Angers,Forward,Left Winger,right,16,6,683,11,11,0,2.8,1.1,3,1,32,6,2,38,39.5,9,34.6,207,77.3,247,67.7,334,2500,1668,7,7,0,1,7,5,54,0,0.0,0,2,1,21,0
ZinĂ©dine Ould Khaled,15000,fr FRA,19,195,Ligue 1,0,Angers,Midfielder,Defensive Midfield,right,1,1,59,11,11,0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,25,88.0,22,100.0,38,161,65,3,3,0,2,1,1,5,0,0.0,0,0,0,2,0
Vincent Pajot,1000000,fr FRA,28,180,Ligue 1,0,Angers,Midfielder,Defensive Midfield,right,6,1,113,11,11,0,0.1,0.0,0,1,3,0,1,1,100.0,6,85.7,48,75.0,40,76.9,63,171,83,3,3,0,2,1,1,12,0,0.0,0,0,0,1,0
Mateo PavloviÄ‡,1000000,ba BIH,29,194,Ligue 1,0,Angers,Defender,Centre-Back,right,11,8,812,11,11,0,0.6,0.0,0,0,7,3,1,0,0.0,39,76.5,335,89.3,265,95.0,414,1089,536,3,2,1,52,6,3,74,0,0.0,0,3,0,1,2
ThĂ©o Pellenard,1000000,fr FRA,25,182,Ligue 1,0,Angers,Defender,Left-Back,left,8,4,455,11,11,0,0.0,0.2,0,0,0,0,0,6,50.0,6,75.0,281,74.7,185,94.9,326,1161,702,12,11,1,8,7,3,54,0,0.0,0,1,0,1,0
Mathias Pereira Lage,2000000,pt POR,22,180,Ligue 1,0,Angers,Midfielder,Left Midfield,right,25,17,1542,11,11,0,1.8,2.3,1,3,36,9,8,44,40.9,28,47.5,542,72.1,510,73.3,774,3459,2037,28,27,1,16,40,22,126,0,0.0,0,2,0,21,0
Jeff Reine-AdĂ©laĂŻde,22000000,fr FRA,21,184,Ligue 1,0,Angers,Midfielder,Central Midfield,right,1,1,79,11,11,0,0.4,0.4,1,1,4,3,1,8,87.5,1,100.0,427,85.7,35,81.4,51,454,321,6,6,0,2,11,8,8,0,0.0,0,0,0,3,0
Baptiste Santamaria,7000000,fr FRA,24,183,Ligue 1,0,Angers,Midfielder,Defensive Midfield,right,28,28,2505,11,11,0,1.2,0.9,1,1,38,11,3,55,70.9,49,59.8,1340,83.4,1015,94.3,1674,5776,3123,39,34,5,64,93,58,377,0,0.0,0,1,0,18,1
Sada Thioub,2000000,sn SEN,24,179,Ligue 1,0,Angers,Forward,Right Winger,right,23,15,1508,11,11,0,1.1,1.9,1,2,14,5,4,101,60.4,8,25.8,696,79.7,702,76.4,922,5767,3587,20,18,2,8,21,15,121,0,0.0,0,3,0,42,0
Romain Thomas,2000000,fr FRA,31,193,Ligue 1,0,Angers,Defender,Centre-Back,right,27,27,2340,11,11,0,0.6,0.1,1,2,8,2,2,3,100.0,74,59.2,1136,87.3,854,96.1,1425,3610,1704,53,33,20,179,29,23,219,0,0.0,0,4,0,1,1
IsmaĂ«l TraorĂ©,1000000,ci CIV,32,184,Ligue 1,0,Angers,Defender,Centre-Back,right,23,23,2052,11,11,0,0.9,0.1,0,0,9,0,0,8,100.0,45,58.4,1027,85.4,803,97.8,1251,3820,1848,35,20,15,116,32,22,201,0,0.0,0,4,0,9,1
Pierre-Emerick Aubameyang,56000000,ga GAB,30,187,Premier League,0,Arsenal,Forward,Centre-Forward,right,36,35,3136,14,10,0,15.8,2.9,22,3,90,40,10,49,51.0,37,38.5,888,68.9,939,61.5,1248,6219,3897,59,57,2,16,39,24,125,0,0.0,0,3,1,39,0
HĂ©ctor BellerĂ­n,32000000,es ESP,24,178,Premier League,0,Arsenal,Defender,Right-Back,right,15,13,1158,14,10,0,0.5,0.3,1,0,7,2,0,35,45.7,13,43.3,686,81.3,500,91.2,837,2887,1810,28,24,4,34,23,16,100,0,0.0,0,2,0,16,0
Dani Ceballos,32000000,es ESP,22,179,Premier League,0,Arsenal,Midfielder,Central Midfield,right,24,18,1692,14,10,0,0.5,1.9,0,2,13,3,8,41,70.7,11,33.3,1301,84.2,1074,94.7,1492,7460,4011,29,25,4,22,49,28,190,0,0.0,0,1,0,25,1
Calum Chambers,14000000,eng ENG,24,182,Premier League,0,Arsenal,Defender,Centre-Back,right,14,13,1102,14,10,0,0.7,0.7,1,1,12,2,3,18,72.2,37,57.8,865,81.2,678,94.8,1028,2956,1638,21,14,7,61,25,18,123,0,0.0,0,5,0,11,0
MattĂ©o Guendouzi,40000000,fr FRA,20,185,Premier League,0,Arsenal,Midfielder,Central Midfield,right,24,19,1748,14,10,0,0.6,1.2,0,1,11,5,2,42,69.0,11,37.9,1144,89.0,993,94.3,1357,7214,3896,40,33,7,48,24,13,192,0,0.0,0,6,0,28,0
Rob Holding,9000000,eng ENG,23,189,Premier League,0,Arsenal,Defender,Centre-Back,right,8,6,581,14,10,0,0.1,0.0,0,0,1,0,0,6,33.3,16,53.3,338,86.4,297,98.3,421,1585,926,19,13,6,45,6,3,37,0,0.0,0,1,0,0,2
Sead KolaĹˇinac,10000000,ba BIH,26,183,Premier League,0,Arsenal,Defender,Left-Back,left,26,19,1701,14,10,0,0.7,1.0,0,2,4,0,2,18,77.8,24,57.1,1031,84.3,744,93.5,1182,3765,2363,23,18,5,45,35,18,193,0,0.0,0,4,0,14,1
Alexandre Lacazette,48000000,fr FRA,28,176,Premier League,0,Arsenal,Forward,Centre-Forward,right,30,22,1874,14,10,0,8.5,3.1,10,4,53,26,15,46,54.3,22,25.6,499,77.6,555,61.3,786,2668,1260,13,13,0,14,23,19,102,0,0.0,0,8,0,43,0
Bernd Leno,28000000,de GER,27,190,Premier League,0,Arsenal,Goalkeeper,Goalkeeper,right,30,30,2649,14,10,7,0.0,0.0,0,0,0,0,0,2,50.0,0,0.0,990,74.9,442,99.5,1074,1991,1044,0,0,0,2,0,0,150,110,0.776,1,2,0,0,1
David Luiz,6000000,br BRA,32,189,Premier League,0,Arsenal,Defender,Centre-Back,right,33,32,2809,14,10,0,1.9,0.9,2,1,23,7,4,9,44.4,58,63.0,1713,86.5,1427,98.1,2050,9426,5689,63,23,40,183,33,20,210,0,0.0,0,5,2,6,3
Ainsley Maitland-Niles,14000000,eng ENG,21,180,Premier League,0,Arsenal,Midfielder,Right Midfield,right,20,15,1386,14,10,0,0.3,1.5,0,2,4,1,3,44,50.0,14,51.9,999,82.6,731,95.2,1179,3900,2272,29,24,5,41,41,27,131,0,0.0,0,6,1,16,0
Pablo MarĂ­,4000000,es ESP,25,193,Premier League,0,Arsenal,Defender,Centre-Back,left,2,2,113,14,10,0,0.0,0.0,0,0,0,0,0,0,0.0,4,57.1,91,89.0,81,98.8,111,503,335,1,1,0,14,3,1,8,0,0.0,0,0,0,0,0
Martinelli,25000000,br BRA,18,180,Premier League,0,Arsenal,Forward,Left Winger,right,14,6,663,14,10,0,2.3,0.3,3,0,12,5,0,29,37.9,7,17.9,138,62.3,181,58.2,275,1839,1245,20,19,1,7,23,13,34,0,0.0,0,1,0,21,0
Emiliano MartĂ­nez,2000000,ar ARG,26,195,Premier League,0,Arsenal,Goalkeeper,Goalkeeper,right,9,8,771,14,10,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,293,72.4,135,100.0,308,589,303,0,0,0,0,0,0,39,33,0.81,0,2,0,0,2
