"case","alt","choice","dist","cost","ivt","ovt","freq","income","urban","noalt"
26,"car",1,345,65.55,226,0,0,55,0,3
27,"train",0,364,68.65,209,104,4,70,0,3
27,"air",0,364,174.2,56,144,9,70,0,3
27,"car",1,364,69.16,237,0,0,70,0,3
28,"train",0,192,43.65,117,84,4,35,0,3
28,"bus",0,192,19.87,149,63,8,35,0,3
28,"car",1,192,36.48,129,0,0,35,0,3
29,"train",1,188,40.15,117,64,4,45,0,3
29,"bus",0,188,19.37,149,58,8,45,0,3
29,"car",0,188,35.72,131,0,0,45,0,3
30,"train",1,188,40.15,117,64,4,15,0,3
30,"bus",0,188,19.37,149,58,8,15,0,3
30,"car",0,188,35.72,131,0,0,15,0,3
31,"train",1,188,40.15,117,64,4,70,0,3
31,"bus",0,188,19.37,149,58,8,70,0,3
31,"car",0,188,35.72,131,0,0,70,0,3
32,"train",1,188,40.15,117,64,4,35,0,3
32,"bus",0,188,19.37,149,58,8,35,0,3
32,"car",0,188,35.72,131,0,0,35,0,3
33,"train",1,188,40.15,117,64,4,70,0,3
33,"bus",0,188,19.37,149,58,8,70,0,3
33,"car",0,188,35.72,131,0,0,70,0,3
34,"train",1,188,40.15,117,64,4,70,0,3
34,"bus",0,188,19.37,149,58,8,70,0,3
34,"car",0,188,35.72,131,0,0,70,0,3
35,"train",1,188,40.15,117,64,4,70,0,3
35,"bus",0,188,19.37,149,58,8,70,0,3
35,"car",0,188,35.72,131,0,0,70,0,3
36,"train",1,188,40.15,117,64,4,45,0,3
36,"bus",0,188,19.37,149,58,8,45,0,3
36,"car",0,188,35.72,131,0,0,45,0,3
37,"train",1,188,40.15,117,64,4,15,0,3
37,"bus",0,188,19.37,149,58,8,15,0,3
37,"car",0,188,35.72,131,0,0,15,0,3
38,"train",0,188,40.15,117,64,4,35,0,3
38,"bus",0,188,19.37,149,58,8,35,0,3
38,"car",1,188,35.72,131,0,0,35,0,3
39,"train",0,188,40.15,117,64,4,70,0,3
39,"bus",0,188,19.37,149,58,8,70,0,3
39,"car",1,188,35.72,131,0,0,70,0,3
40,"train",0,188,40.15,117,64,4,35,0,3
40,"bus",0,188,19.37,149,58,8,35,0,3
40,"car",1,188,35.72,131,0,0,35,0,3
41,"train",0,188,40.15,117,64,4,34,0,3
41,"bus",0,188,19.37,149,58,8,34,0,3
41,"car",1,188,35.72,131,0,0,34,0,3
42,"train",0,188,40.15,117,64,4,70,0,3
42,"bus",0,188,19.37,149,58,8,70,0,3
42,"car",1,188,35.72,131,0,0,70,0,3
43,"train",0,188,40.15,117,64,4,70,0,3
43,"bus",0,188,19.37,149,58,8,70,0,3
43,"car",1,188,35.72,131,0,0,70,0,3
44,"train",0,188,40.15,117,64,4,35,0,3
44,"bus",0,188,19.37,149,58,8,35,0,3
44,"car",1,188,35.72,131,0,0,35,0,3
45,"train",0,188,40.15,117,64,4,45,0,3
45,"bus",0,188,19.37,149,58,8,45,0,3
45,"car",1,188,35.72,131,0,0,45,0,3
46,"train",0,188,40.15,117,64,4,45,0,3
46,"bus",0,188,19.37,149,58,8,45,0,3
46,"car",1,188,35.72,131,0,0,45,0,3
47,"train",0,188,40.15,117,64,4,35,0,3
47,"bus",0,188,19.37,149,58,8,35,0,3
47,"car",1,188,35.72,131,0,0,35,0,3
48,"train",0,188,40.15,117,64,4,55,0,3
48,"bus",0,188,19.37,149,58,8,55,0,3
48,"car",1,188,35.72,131,0,0,55,0,3
49,"train",0,188,40.15,117,64,4,70,0,3
49,"bus",0,188,19.37,149,58,8,70,0,3
49,"car",1,188,35.72,131,0,0,70,0,3
50,"train",0,188,40.15,117,64,4,45,0,3
50,"bus",0,188,19.37,149,58,8,45,0,3
50,"car",1,188,35.72,131,0,0,45,0,3
51,"train",0,188,40.15,117,64,4,15,0,3
51,"bus",0,188,19.37,149,58,8,15,0,3
51,"car",1,188,35.72,131,0,0,15,0,3
52,"train",0,188,40.15,117,64,4,70,0,3
52,"bus",0,188,19.37,149,58,8,70,0,3
52,"car",1,188,35.72,131,0,0,70,0,3
53,"train",0,188,40.15,117,64,4,70,0,3
53,"bus",0,188,19.37,149,58,8,70,0,3
53,"car",1,188,35.72,131,0,0,70,0,3
54,"train",0,188,40.15,117,64,4,45,0,3
54,"bus",0,188,19.37,149,58,8,45,0,3
54,"car",1,188,35.72,131,0,0,45,0,3
55,"train",0,188,40.15,117,64,4,55,0,3
55,"bus",0,188,19.37,149,58,8,55,0,3
55,"car",1,188,35.72,131,0,0,55,0,3
56,"train",0,188,40.15,117,64,4,45,0,3
56,"bus",0,188,19.37,149,58,8,45,0,3
56,"car",1,188,35.72,131,0,0,45,0,3
57,"train",0,188,40.15,117,64,4,45,0,3
57,"bus",0,188,19.37,149,58,8,45,0,3
57,"car",1,188,35.72,131,0,0,45,0,3
58,"train",0,188,40.15,117,64,4,70,0,3
58,"bus",0,188,19.37,149,58,8,70,0,3
58,"car",1,188,35.72,131,0,0,70,0,3
59,"train",0,188,40.15,117,64,4,70,0,3
59,"bus",0,188,19.37,149,58,8,70,0,3
59,"car",1,188,35.72,131,0,0,70,0,3
60,"train",0,188,40.15,117,64,4,70,0,3
60,"bus",0,188,19.37,149,58,8,70,0,3
60,"car",1,188,35.72,131,0,0,70,0,3
61,"train",0,188,40.15,117,64,4,45,0,3
61,"bus",0,188,19.37,149,58,8,45,0,3
61,"car",1,188,35.72,131,0,0,45,0,3
62,"train",0,188,40.15,117,64,4,25,0,3
62,"bus",0,188,19.37,149,58,8,25,0,3
62,"car",1,188,35.72,131,0,0,25,0,3
63,"train",0,188,40.15,117,64,4,70,0,3
63,"bus",0,188,19.37,149,58,8,70,0,3
63,"car",1,188,35.72,131,0,0,70,0,3
64,"train",0,188,40.15,117,64,4,35,0,3
64,"bus",0,188,19.37,149,58,8,35,0,3
64,"car",1,188,35.72,131,0,0,35,0,3
65,"train",0,188,40.15,117,64,4,70,0,3
65,"bus",0,188,19.37,149,58,8,70,0,3
65,"car",1,188,35.72,131,0,0,70,0,3
66,"train",0,188,40.15,117,64,4,45,0,3
66,"bus",0,188,19.37,149,58,8,45,0,3
66,"car",1,188,35.72,131,0,0,45,0,3
67,"train",0,188,40.15,117,64,4,55,0,3
67,"bus",0,188,19.37,149,58,8,55,0,3
67,"car",1,188,35.72,131,0,0,55,0,3
68,"train",0,188,40.65,117,68,4,45,0,3
68,"bus",0,188,19.87,149,63,8,45,0,3
68,"car",1,188,35.72,131,0,0,45,0,3
69,"train",0,188,40.65,117,68,4,25,0,3
69,"bus",0,188,19.87,149,63,8,25,0,3
69,"car",1,188,35.72,131,0,0,25,0,3
70,"train",0,188,40.65,117,68,4,35,0,3
70,"bus",0,188,19.87,149,63,8,35,0,3
70,"car",1,188,35.72,131,0,0,35,0,3
71,"train",0,231,44.65,117,94,4,25,0,3
71,"bus",0,231,19.87,149,88,8,25,0,3
71,"car",1,231,43.89,150,0,0,25,0,3
72,"train",0,231,44.15,117,89,4,45,0,2
72,"car",1,231,43.89,153,0,0,45,0,2
73,"train",0,231,44.15,117,89,4,35,0,2
73,"car",1,231,43.89,153,0,0,35,0,2
74,"train",0,231,44.15,117,89,4,70,0,2
74,"car",1,231,43.89,153,0,0,70,0,2
75,"train",0,231,44.15,117,89,4,70,0,2
75,"car",1,231,43.89,153,0,0,70,0,2
76,"train",0,258,46.65,174,64,4,45,0,3
76,"air",0,258,158.2,56,139,9,45,0,3
76,"car",1,258,49.02,166,0,0,45,0,3
77,"train",0,267,48.65,174,64,4,55,0,3
77,"air",0,267,159.2,56,139,9,55,0,3
77,"car",1,267,50.73,174,0,0,55,0,3
78,"train",0,267,48.65,174,64,4,55,0,3
78,"air",0,267,159.2,56,139,9,55,0,3
78,"car",1,267,50.73,174,0,0,55,0,3
79,"train",1,279,46.65,260,64,2,55,0,3
79,"air",0,279,159.2,56,129,9,55,0,3
79,"car",0,279,53.01,178,0,0,55,0,3
80,"train",0,279,46.65,260,64,2,45,0,3
80,"air",0,279,159.2,56,129,9,45,0,3
80,"car",1,279,53.01,178,0,0,45,0,3
81,"train",0,279,46.65,260,64,2,55,0,3
81,"air",0,279,159.2,56,129,9,55,0,3
81,"car",1,279,53.01,178,0,0,55,0,3
82,"train",0,283,47.65,260,66,2,70,0,3
82,"air",0,283,154.2,56,134,9,70,0,3
82,"car",1,283,53.77,184,0,0,70,0,3
83,"train",0,291,48.65,260,77,2,55,0,3
83,"air",0,291,159.2,56,139,9,55,0,3
83,"car",1,291,55.29,188,0,0,55,0,3
84,"train",0,291,48.65,260,77,2,45,0,3
84,"air",0,291,159.2,56,139,9,45,0,3
84,"car",1,291,55.29,188,0,0,45,0,3
85,"train",0,291,48.65,260,77,2,55,0,3
85,"air",0,291,159.2,56,139,9,55,0,3
85,"car",1,291,55.29,188,0,0,55,0,3
86,"train",0,296,50.05,281,59,2,35,0,3
86,"air",0,296,156.9,56,124,9,35,0,3
86,"car",1,296,56.24,200,0,0,35,0,3
87,"train",0,296,50.05,281,59,2,45,0,3
87,"air",0,296,156.9,56,124,9,45,0,3
87,"car",1,296,56.24,200,0,0,45,0,3
88,"train",0,296,50.05,281,59,2,70,0,3
88,"air",0,296,156.9,56,124,9,70,0,3
88,"car",1,296,56.24,200,0,0,70,0,3
89,"train",0,296,50.05,281,59,2,70,0,3
89,"air",0,296,156.9,56,124,9,70,0,3
89,"car",1,296,56.24,200,0,0,70,0,3
90,"train",0,317,53.05,281,74,2,45,0,3
90,"air",0,317,159.2,56,139,9,45,0,3
90,"car",1,317,60.23,210,0,0,45,0,3
91,"train",0,291,57.65,268,69,2,70,0,3
91,"air",0,291,146.2,56,123,9,70,0,3
91,"car",1,291,55.29,194,0,0,70,0,3
92,"train",0,291,57.65,268,69,2,70,0,3
92,"air",0,291,146.2,56,123,9,70,0,3
92,"car",1,291,55.29,194,0,0,70,0,3
93,"train",0,291,57.65,268,69,2,55,0,3
93,"air",0,291,146.2,56,123,9,55,0,3
93,"car",1,291,55.29,194,0,0,55,0,3
94,"train",0,291,57.65,268,69,2,25,0,3
94,"air",0,291,146.2,56,123,9,25,0,3
94,"car",1,291,55.29,194,0,0,25,0,3
95,"train",0,300,59.65,209,74,4,70,0,3
95,"air",0,300,150.2,56,109,9,70,0,3
95,"car",1,300,57,201,0,0,70,0,3
96,"train",0,313,59.65,209,74,4,5,0,3
96,"air",0,313,150.2,56,109,9,5,0,3
96,"car",1,313,59.47,210,0,0,5,0,3
97,"train",0,313,59.65,209,74,4,35,0,3
97,"air",0,313,150.2,56,109,9,35,0,3
97,"car",1,313,59.47,210,0,0,35,0,3
98,"train",0,300,55.65,209,69,4,35,0,3
98,"air",0,300,149.55,56,104,9,35,0,3
98,"car",1,300,57,199,0,0,35,0,3
99,"train",0,300,55.65,209,69,4,55,0,3
99,"air",0,300,149.55,56,104,9,55,0,3
99,"car",1,300,57,199,0,0,55,0,3
100,"train",0,300,55.65,209,69,4,70,0,3
100,"air",0,300,149.55,56,104,9,70,0,3
100,"car",1,300,57,199,0,0,70,0,3
101,"train",0,317,57.25,215,63,4,70,0,3
101,"air",1,317,146.2,56,94,9,70,0,3
101,"car",0,317,60.23,214,0,0,70,0,3
102,"train",0,317,57.25,215,63,4,70,0,3
102,"air",0,317,146.2,56,94,9,70,0,3
102,"car",1,317,60.23,214,0,0,70,0,3
103,"train",0,317,57.25,215,63,4,45,0,3
103,"air",0,317,146.2,56,94,9,45,0,3
103,"car",1,317,60.23,214,0,0,45,0,3
104,"train",0,317,57.25,215,63,4,55,0,3
104,"air",0,317,146.2,56,94,9,55,0,3
104,"car",1,317,60.23,214,0,0,55,0,3
105,"train",0,317,57.25,215,63,4,70,0,3
105,"air",0,317,146.2,56,94,9,70,0,3
105,"car",1,317,60.23,214,0,0,70,0,3
106,"train",0,317,57.25,215,63,4,55,0,3
106,"air",0,317,146.2,56,94,9,55,0,3
106,"car",1,317,60.23,214,0,0,55,0,3
107,"train",0,317,57.25,215,63,4,55,0,3
107,"air",0,317,146.2,56,94,9,55,0,3
107,"car",1,317,60.23,214,0,0,55,0,3
108,"train",0,320,58.75,215,79,4,70,0,3
108,"air",0,320,146.2,56,100,9,70,0,3
108,"car",1,320,60.8,216,0,0,70,0,3
109,"train",0,377,58.25,215,74,4,45,0,4
109,"air",1,377,142.8,56,85,9,45,0,4
109,"bus",0,377,27.52,301,63,8,45,0,4
109,"car",0,377,71.63,262,0,0,45,0,4
110,"train",0,377,58.25,215,74,4,70,0,4
110,"air",1,377,142.8,56,85,9,70,0,4
110,"bus",0,377,27.52,301,63,8,70,0,4
110,"car",0,377,71.63,262,0,0,70,0,4
111,"train",0,377,58.25,215,74,4,35,0,4
111,"air",1,377,142.8,56,85,9,35,0,4
111,"bus",0,377,27.52,301,63,8,35,0,4
111,"car",0,377,71.63,262,0,0,35,0,4
112,"train",0,377,58.25,215,74,4,70,0,4
112,"air",1,377,142.8,56,85,9,70,0,4
112,"bus",0,377,27.52,301,63,8,70,0,4
112,"car",0,377,71.63,262,0,0,70,0,4
113,"train",0,377,58.25,215,74,4,70,0,4
113,"air",1,377,142.8,56,85,9,70,0,4
113,"bus",0,377,27.52,301,63,8,70,0,4
113,"car",0,377,71.63,262,0,0,70,0,4
114,"train",0,377,58.25,215,74,4,55,0,4
114,"air",1,377,142.8,56,85,9,55,0,4
114,"bus",0,377,27.52,301,63,8,55,0,4
114,"car",0,377,71.63,262,0,0,55,0,4
115,"train",0,377,58.25,215,74,4,25,0,4
115,"air",1,377,142.8,56,85,9,25,0,4
115,"bus",0,377,27.52,301,63,8,25,0,4
115,"car",0,377,71.63,262,0,0,25,0,4
116,"train",0,377,58.25,215,74,4,70,0,4
116,"air",1,377,142.8,56,85,9,70,0,4
116,"bus",0,377,27.52,301,63,8,70,0,4
116,"car",0,377,71.63,262,0,0,70,0,4
117,"train",0,377,58.25,215,74,4,70,0,4
117,"air",1,377,142.8,56,85,9,70,0,4
117,"bus",0,377,27.52,301,63,8,70,0,4
117,"car",0,377,71.63,262,0,0,70,0,4
118,"train",0,377,58.25,215,74,4,45,0,4
118,"air",1,377,142.8,56,85,9,45,0,4
118,"bus",0,377,27.52,301,63,8,45,0,4
118,"car",0,377,71.63,262,0,0,45,0,4
119,"train",0,377,58.25,215,74,4,70,0,4
119,"air",0,377,142.8,56,85,9,70,0,4
119,"bus",0,377,27.52,301,63,8,70,0,4
119,"car",1,377,71.63,262,0,0,70,0,4
120,"train",0,377,58.25,215,74,4,25,0,4
120,"air",0,377,142.8,56,85,9,25,0,4
120,"bus",0,377,27.52,301,63,8,25,0,4
120,"car",1,377,71.63,262,0,0,25,0,4
121,"train",0,377,58.25,215,74,4,70,0,4
121,"air",0,377,142.8,56,85,9,70,0,4
121,"bus",0,377,27.52,301,63,8,70,0,4
121,"car",1,377,71.63,262,0,0,70,0,4
122,"train",0,377,58.25,215,74,4,45,0,4
122,"air",0,377,142.8,56,85,9,45,0,4
122,"bus",0,377,27.52,301,63,8,45,0,4
122,"car",1,377,71.63,262,0,0,45,0,4
123,"train",0,377,58.25,215,74,4,70,0,4
123,"air",0,377,142.8,56,85,9,70,0,4
123,"bus",0,377,27.52,301,63,8,70,0,4
123,"car",1,377,71.63,262,0,0,70,0,4
124,"train",0,377,58.25,215,74,4,15,0,4
124,"air",0,377,142.8,56,85,9,15,0,4
124,"bus",0,377,27.52,301,63,8,15,0,4
124,"car",1,377,71.63,262,0,0,15,0,4
125,"train",0,377,58.25,215,74,4,70,0,4
125,"air",0,377,142.8,56,85,9,70,0,4
125,"bus",0,377,27.52,301,63,8,70,0,4
125,"car",1,377,71.63,262,0,0,70,0,4
126,"train",0,377,58.25,215,74,4,55,0,4
126,"air",0,377,142.8,56,85,9,55,0,4
126,"bus",0,377,27.52,301,63,8,55,0,4
126,"car",1,377,71.63,262,0,0,55,0,4
127,"train",0,377,58.25,215,74,4,35,0,4
127,"air",0,377,142.8,56,85,9,35,0,4
127,"bus",0,377,27.52,301,63,8,35,0,4
127,"car",1,377,71.63,262,0,0,35,0,4
128,"train",0,377,58.25,215,74,4,35,0,4
128,"air",0,377,142.8,56,85,9,35,0,4
128,"bus",0,377,27.52,301,63,8,35,0,4
128,"car",1,377,71.63,262,0,0,35,0,4
129,"train",0,387,58.25,316,59,2,55,0,4
129,"air",0,387,145.8,56,85,9,55,0,4
129,"bus",0,387,26.67,301,58,8,55,0,4
129,"car",1,387,73.53,251,0,0,55,0,4
130,"train",0,387,58.25,316,59,2,45,0,4
130,"air",0,387,145.8,56,85,9,45,0,4
130,"bus",0,387,26.67,301,58,8,45,0,4
130,"car",1,387,73.53,251,0,0,45,0,4
131,"train",0,404,60.25,316,74,2,70,0,4
131,"air",0,404,146.2,56,94,9,70,0,4
131,"bus",0,404,26.67,301,93,8,70,0,4
131,"car",1,404,76.76,265,0,0,70,0,4
132,"train",1,365,60.85,237,94,4,70,1,4
132,"air",0,365,151.2,56,77,9,70,1,4
132,"bus",0,365,27.82,301,83,8,70,1,4
132,"car",0,365,69.35,245,0,0,70,1,4
133,"train",0,365,60.85,237,94,4,55,1,4
133,"air",1,365,151.2,56,77,9,55,1,4
133,"bus",0,365,27.82,301,83,8,55,1,4
133,"car",0,365,69.35,245,0,0,55,1,4
134,"train",0,365,60.85,237,94,4,55,1,4
134,"air",1,365,151.2,56,77,9,55,1,4
134,"bus",0,365,27.82,301,83,8,55,1,4
134,"car",0,365,69.35,245,0,0,55,1,4
135,"train",0,365,60.85,237,94,4,70,1,4
135,"air",1,365,151.2,56,77,9,70,1,4
135,"bus",0,365,27.82,301,83,8,70,1,4
135,"car",0,365,69.35,245,0,0,70,1,4
136,"train",0,365,60.85,237,94,4,70,1,4
136,"air",0,365,151.2,56,77,9,70,1,4
136,"bus",0,365,27.82,301,83,8,70,1,4
136,"car",1,365,69.35,245,0,0,70,1,4
137,"train",0,365,60.85,237,94,4,45,1,4
137,"air",0,365,151.2,56,77,9,45,1,4
137,"bus",0,365,27.82,301,83,8,45,1,4
137,"car",1,365,69.35,245,0,0,45,1,4
138,"train",0,365,60.85,237,94,4,70,1,4
138,"air",0,365,151.2,56,77,9,70,1,4
138,"bus",0,365,27.82,301,83,8,70,1,4
138,"car",1,365,69.35,245,0,0,70,1,4
139,"train",1,354,59,237,69,4,35,1,4
139,"air",0,354,155.8,56,97,9,35,1,4
139,"bus",0,354,27.34,301,68,8,35,1,4
139,"car",0,354,67.26,231,0,0,35,1,4
140,"train",1,354,59,237,69,4,15,1,4
140,"air",0,354,155.8,56,97,9,15,1,4
140,"bus",0,354,27.34,301,68,8,15,1,4
140,"car",0,354,67.26,231,0,0,15,1,4
141,"train",1,354,59,237,69,4,55,1,4
141,"air",0,354,155.8,56,97,9,55,1,4
141,"bus",0,354,27.34,301,68,8,55,1,4
141,"car",0,354,67.26,231,0,0,55,1,4
142,"train",1,354,59,237,69,4,70,1,4
142,"air",0,354,155.8,56,97,9,70,1,4
142,"bus",0,354,27.34,301,68,8,70,1,4
142,"car",0,354,67.26,231,0,0,70,1,4
143,"train",1,354,59,237,69,4,70,1,4
143,"air",0,354,155.8,56,97,9,70,1,4
143,"bus",0,354,27.34,301,68,8,70,1,4
143,"car",0,354,67.26,231,0,0,70,1,4
144,"train",1,354,59,237,69,4,45,1,4
144,"air",0,354,155.8,56,97,9,45,1,4
144,"bus",0,354,27.34,301,68,8,45,1,4
144,"car",0,354,67.26,231,0,0,45,1,4
145,"train",1,354,59,237,69,4,70,1,4
145,"air",0,354,155.8,56,97,9,70,1,4
145,"bus",0,354,27.34,301,68,8,70,1,4
145,"car",0,354,67.26,231,0,0,70,1,4
146,"train",1,354,59,237,69,4,35,1,4
146,"air",0,354,155.8,56,97,9,35,1,4
146,"bus",0,354,27.34,301,68,8,35,1,4
146,"car",0,354,67.26,231,0,0,35,1,4
147,"train",1,354,59,237,69,4,70,1,4
147,"air",0,354,155.8,56,97,9,70,1,4
147,"bus",0,354,27.34,301,68,8,70,1,4
147,"car",0,354,67.26,231,0,0,70,1,4
148,"train",1,354,59,237,69,4,45,1,4
148,"air",0,354,155.8,56,97,9,45,1,4
148,"bus",0,354,27.34,301,68,8,45,1,4
148,"car",0,354,67.26,231,0,0,45,1,4
149,"train",0,354,59,237,69,4,70,1,4
149,"air",1,354,155.8,56,97,9,70,1,4
149,"bus",0,354,27.34,301,68,8,70,1,4
149,"car",0,354,67.26,231,0,0,70,1,4
150,"train",0,354,59,237,69,4,70,1,4
150,"air",1,354,155.8,56,97,9,70,1,4
150,"bus",0,354,27.34,301,68,8,70,1,4
150,"car",0,354,67.26,231,0,0,70,1,4
151,"train",0,354,59,237,69,4,70,1,4
151,"air",1,354,155.8,56,97,9,70,1,4
151,"bus",0,354,27.34,301,68,8,70,1,4
151,"car",0,354,67.26,231,0,0,70,1,4
152,"train",0,354,59,237,69,4,70,1,4
152,"air",1,354,155.8,56,97,9,70,1,4
152,"bus",0,354,27.34,301,68,8,70,1,4
152,"car",0,354,67.26,231,0,0,70,1,4
153,"train",0,354,59,237,69,4,70,1,4
153,"air",1,354,155.8,56,97,9,70,1,4
153,"bus",0,354,27.34,301,68,8,70,1,4
153,"car",0,354,67.26,231,0,0,70,1,4
154,"train",0,354,59,237,69,4,70,1,4
154,"air",1,354,155.8,56,97,9,70,1,4
154,"bus",0,354,27.34,301,68,8,70,1,4
154,"car",0,354,67.26,231,0,0,70,1,4
155,"train",0,354,59,237,69,4,55,1,4
155,"air",1,354,155.8,56,97,9,55,1,4
155,"bus",0,354,27.34,301,68,8,55,1,4
155,"car",0,354,67.26,231,0,0,55,1,4
156,"train",0,354,59,237,69,4,70,1,4
156,"air",1,354,155.8,56,97,9,70,1,4
156,"bus",0,354,27.34,301,68,8,70,1,4
156,"car",0,354,67.26,231,0,0,70,1,4
157,"train",0,354,59,237,69,4,55,1,4
157,"air",1,354,155.8,56,97,9,55,1,4
157,"bus",0,354,27.34,301,68,8,55,1,4
157,"car",0,354,67.26,231,0,0,55,1,4
158,"train",0,354,59,237,69,4,70,1,4
158,"air",1,354,155.8,56,97,9,70,1,4
158,"bus",0,354,27.34,301,68,8,70,1,4
158,"car",0,354,67.26,231,0,0,70,1,4
159,"train",0,354,59,237,69,4,35,1,4
159,"air",0,354,155.8,56,97,9,35,1,4
159,"bus",0,354,27.34,301,68,8,35,1,4
159,"car",1,354,67.26,231,0,0,35,1,4
160,"train",0,354,59,237,69,4,55,1,4
160,"air",0,354,155.8,56,97,9,55,1,4
160,"bus",0,354,27.34,301,68,8,55,1,4
160,"car",1,354,67.26,231,0,0,55,1,4
161,"train",0,354,59,237,69,4,70,1,4
161,"air",0,354,155.8,56,97,9,70,1,4
161,"bus",0,354,27.34,301,68,8,70,1,4
161,"car",1,354,67.26,231,0,0,70,1,4
162,"train",0,354,59,237,69,4,70,1,4
162,"air",0,354,155.8,56,97,9,70,1,4
162,"bus",0,354,27.34,301,68,8,70,1,4
162,"car",1,354,67.26,231,0,0,70,1,4
163,"train",0,354,59,237,69,4,70,1,4
163,"air",0,354,155.8,56,97,9,70,1,4
163,"bus",0,354,27.34,301,68,8,70,1,4
163,"car",1,354,67.26,231,0,0,70,1,4
164,"train",0,354,59,237,69,4,35,1,4
164,"air",0,354,155.8,56,97,9,35,1,4
164,"bus",0,354,27.34,301,68,8,35,1,4
164,"car",1,354,67.26,231,0,0,35,1,4
165,"train",0,354,59,237,69,4,31,1,4
165,"air",0,354,155.8,56,97,9,31,1,4
165,"bus",0,354,27.34,301,68,8,31,1,4
165,"car",1,354,67.26,231,0,0,31,1,4
166,"train",0,354,59,237,69,4,25,1,4
166,"air",0,354,155.8,56,97,9,25,1,4
166,"bus",0,354,27.34,301,68,8,25,1,4
166,"car",1,354,67.26,231,0,0,25,1,4
167,"train",0,354,59,237,69,4,25,1,4
167,"air",0,354,155.8,56,97,9,25,1,4
167,"bus",0,354,27.34,301,68,8,25,1,4
167,"car",1,354,67.26,231,0,0,25,1,4
168,"train",1,362,61.35,237,94,4,15,1,4
168,"air",0,362,152.65,56,93,9,15,1,4
168,"bus",0,362,27.27,301,83,8,15,1,4
168,"car",0,362,68.78,242,0,0,15,1,4
169,"train",1,362,61.35,237,94,4,15,1,4
169,"air",0,362,152.65,56,93,9,15,1,4
169,"bus",0,362,27.27,301,83,8,15,1,4
169,"car",0,362,68.78,242,0,0,15,1,4
170,"train",0,362,61.35,237,94,4,70,1,4
170,"air",1,362,152.65,56,93,9,70,1,4
170,"bus",0,362,27.27,301,83,8,70,1,4
170,"car",0,362,68.78,242,0,0,70,1,4
171,"train",0,362,61.35,237,94,4,55,1,4
171,"air",1,362,152.65,56,93,9,55,1,4
171,"bus",0,362,27.27,301,83,8,55,1,4
171,"car",0,362,68.78,242,0,0,55,1,4
