"Purchase","WeekofPurchase","StoreID","PriceCH","PriceMM","DiscCH","DiscMM","SpecialCH","SpecialMM","LoyalCH","PriceDiff"
"CH",263,7,1.86,2.13,0.27,0,0,0,0.932891,0.54
"CH",264,7,1.86,2.13,0.37,0,1,0,0.946313,0.64
"CH",267,7,1.86,2.13,0,0,1,0,0.95705,0.27
"CH",268,7,1.86,2.13,0,0,0,0,0.96564,0.27
"CH",269,7,1.86,2.13,0.27,0,1,0,0.972512,0.54
"CH",277,7,1.99,2.13,0.5,0,0,1,0.97801,0.64
"CH",278,7,2.06,2.13,0,0,0,0,0.982408,0.07
"CH",230,4,1.79,1.79,0,0,0,0,0.52,0
"MM",273,4,1.99,2.09,0,0.4,0,0,0.616,-0.3
"MM",227,4,1.79,1.79,0,0,0,1,0.5,0
"MM",229,4,1.79,1.79,0,0,0,0,0.4,0
"MM",230,4,1.79,1.79,0,0,0,0,0.32,0
"MM",252,4,1.99,2.23,0,0,0,0,0.5,0.24
"CH",265,4,1.99,2.09,0.1,0,0,0,0.4,0.2
"CH",262,4,1.99,2.09,0,0,0,0,0.6,0.1
"MM",275,7,1.99,2.13,0,0.54,1,0,0.6,-0.4
"MM",259,7,1.86,2.18,0,0,0,0,0.4,0.32
"MM",261,7,1.86,2.13,0,0.24,0,0,0.32,0.03
"MM",240,4,1.79,2.23,0,0,0,0,0.5,0.44
"MM",244,1,1.86,2.09,0,0,0,0,0.4,0.23
"MM",233,7,1.75,1.99,0,0.4,1,0,0.4,-0.16
"MM",256,3,1.99,2.29,0,0,0,0,0.32,0.3
"MM",258,2,1.86,2.18,0,0,0,0,0.256,0.32
"CH",264,7,1.86,2.13,0.37,0,1,0,0.2048,0.64
"CH",266,2,1.86,2.18,0,0,0,0,0.36384,0.32
"MM",267,1,1.86,1.99,0,0.2,0,1,0.491072,-0.07
"MM",274,2,1.96,2.18,0,0.8,0,1,0.392858,-0.58
"CH",274,7,1.86,2.13,0.47,0.54,1,0,0.314286,0.2
"MM",228,1,1.69,1.69,0,0,0,0,0.5,0
"MM",237,2,1.75,1.99,0,0,0,0,0.4,0.24
"CH",258,1,1.76,2.18,0,0,0,0,0.32,0.42
"MM",228,2,1.69,1.69,0,0,0,0,0.256,0
"MM",229,2,1.69,1.69,0,0,0,0,0.2048,0
"MM",236,2,1.75,1.99,0,0,0,0,0.16384,0.24
"MM",242,2,1.75,1.99,0.16,0.3,0,1,0.131072,0.1
"CH",254,2,1.89,2.09,0.13,0,0,0,0.104858,0.33
"CH",257,2,1.86,2.18,0,0,0,0,0.283886,0.32
"MM",260,2,1.86,2.18,0,0.7,0,0,0.427109,-0.38
"CH",227,7,1.69,1.69,0,0,0,1,0.072993,0
"MM",227,2,1.69,1.69,0,0,0,0,0.258395,0
"MM",228,2,1.69,1.69,0,0,0,0,0.206716,0
"MM",229,2,1.69,1.69,0,0,0,0,0.165373,0
"MM",230,7,1.69,1.99,0,0,0,1,0.132298,0.3
"MM",233,2,1.69,1.69,0,0,0,0,0.105838,0
"CH",235,7,1.75,1.99,0,0.4,0,0,0.084671,-0.16
"MM",236,2,1.75,1.99,0,0,0,0,0.267737,0.24
"MM",237,2,1.75,1.99,0,0,0,0,0.214189,0.24
"MM",237,2,1.75,1.99,0,0,0,0,0.171351,0.24
"CH",239,7,1.79,2.09,0,0,0,0,0.137081,0.3
"MM",240,7,1.86,2.09,0,0,0,0,0.309665,0.23
"MM",242,2,1.75,1.99,0.16,0.3,0,1,0.247732,0.1
"CH",257,7,1.86,2.18,0,0,0,0,0.198186,0.32
"MM",258,7,1.86,2.18,0,0,0,0,0.358548,0.32
"CH",264,7,1.86,2.13,0.37,0,1,0,0.286839,0.64
"MM",271,7,1.86,2.13,0,0,0,0,0.429471,0.27
"MM",272,3,1.99,2.09,0,0.4,0,0,0.343577,-0.3
"MM",272,2,1.86,2.18,0,0.06,0,0,0.274861,0.26
"MM",274,7,1.86,2.13,0.47,0.54,1,0,0.219889,0.2
"MM",274,2,1.96,2.18,0,0.8,0,1,0.175911,-0.58
"MM",275,7,1.99,2.13,0,0.54,1,0,0.140729,-0.4
"MM",276,7,1.99,2.13,0,0.54,0,1,0.112583,-0.4
"MM",227,1,1.69,1.69,0,0,0,0,0.433472,0
"MM",236,1,1.75,1.99,0,0,0,0,0.346778,0.24
"CH",243,1,1.86,1.99,0,0.8,0,1,0.277422,-0.67
