"Airline","Year","Cost","RPM","Fuel_Price","Load_Factor"
"jetBlue Airways",2011,88.0438,0.256505,85.0418,0.611734
"jetBlue Airways",2012,105.202,0.249657,101.117,0.580884
"jetBlue Airways",2013,119.368,0.273923,95.1934,0.572047
"jetBlue Airways",2014,130.339,0.371131,88.1323,0.59457
"jetBlue Airways",2015,143.697,0.421411,83.1374,0.585525
"Southwest Airlines",2001,9.1361,0.051028,11.8222,0.442875
"Southwest Airlines",2002,9.5428,0.052646,11.6223,0.462473
"Southwest Airlines",2003,9.8187,0.056348,11.5853,0.519118
"Southwest Airlines",2004,11.5967,0.066953,12.9372,0.529331
"Southwest Airlines",2005,13.8382,0.070308,24.3266,0.557797
"Southwest Airlines",2006,15.6228,0.073961,27.793,0.556181
"Southwest Airlines",2007,18.3169,0.084946,31.7273,0.569327
"Southwest Airlines",2008,21.0212,0.095474,35.8794,0.583465
"Southwest Airlines",2009,27.4024,0.119814,39.7667,0.631818
"Southwest Airlines",2010,35.6915,0.150046,56.6672,0.604723
"Southwest Airlines",2011,43.2344,0.144014,84.8393,0.587921
"Southwest Airlines",2012,52.4294,0.1693,100.574,0.616159
"Southwest Airlines",2013,53.0924,0.172761,95.8231,0.605868
"Southwest Airlines",2014,58.1447,0.18667,87.2924,0.594688
"Southwest Airlines",2015,61.0257,0.213279,84.4622,0.635545
"United Airlines",2001,6.8978,0.037682,11.7112,0.448539
"United Airlines",2002,7.4904,0.039784,11.942,0.475889
"United Airlines",2003,8.3829,0.044331,11.6087,0.500562
"United Airlines",2004,9.8148,0.050245,12.2997,0.500344
"United Airlines",2005,11.8449,0.055046,19.4309,0.528897
"United Airlines",2006,13.3161,0.052462,30.7923,0.495361
"United Airlines",2007,14.5062,0.056977,32.3595,0.510342
"United Airlines",2008,17.0711,0.06149,36.3081,0.518296
"United Airlines",2009,19.9775,0.069027,38.6422,0.546723
"United Airlines",2010,27.6797,0.092749,56.4867,0.554276
"United Airlines",2011,38.1478,0.11264,87.4818,0.517766
"United Airlines",2012,50.6969,0.154154,101.317,0.580049
"United Airlines",2013,63.3388,0.186461,93.0477,0.556024
"United Airlines",2014,80.4388,0.246847,85.1676,0.537791
"United Airlines",2015,100.95,0.304013,81.9476,0.525775
